id,specz1,photoz1,ra1,dec1,vote1
46,0.0450504,0.125468,22.166136,14.764936,0.720236
47,0.0429289,0.0750745,26.307619,14.426249,0.692351
48,0.0764433,0.0485258,12.271001,15.551515,0.418158
49,0.0602261,0.0918604,18.534632,15.403145,0.436773
50,0.0448441,9.17E-04,24.840654,14.988164,0.431799
51,0.0620447,0.0939106,12.865309,16.07865,0.467429
52,0.0877217,0.0391819,26.591686,15.164806,0.679595
53,0.0375485,0.0370602,32.87254,14.467672,0.465136
54,0.0706369,0.0201085,53.581093,-7.5880713,0.561402
55,0.061226,0.998327,48.815063,-7.7664371,0.434073
56,0.0781867,0.0490688,53.52906,-7.1814766,0.720723
57,0.0646702,0.157525,62.846046,-5.9125528,0.442977
58,0.0778083,0.139453,54.154167,-6.7583008,0.557395
59,0.0881327,0.121481,46.992294,-7.0657587,0.505789
60,0.0651924,0.0642762,59.582653,-5.5388727,0.723742
61,0.0926284,0.0585756,36.386028,-7.4237428,0.670992
62,0.0915942,0.145947,176.73772,-3.3664041,0.655645
63,0.0983007,0.0567398,178.85504,-3.4505806,0.529359
64,0.0880841,0.0354565,195.19083,-3.4837589,0.541439
65,0.0999853,0.142786,174.16061,-3.0218005,0.603474
66,0.0554565,0.0845006,175.64406,-3.0928993,0.485134
67,0.091885,0.114867,185.0231,-2.9370766,0.706727
68,0.0891938,0.143733,191.8757,-3.0208604,0.760107
69,0.0819818,0.11381,196.25174,-2.8943927,0.510727
70,0.0952724,0.143459,196.97263,-3.0167689,0.571145
71,0.0716606,0.105496,185.38481,-2.6115885,0.48438
72,0.087817,0.152248,192.09142,-2.6474011,0.741736
73,0.0130202,6.48E-04,177.07578,-1.6399317,0.495615
74,0.0820518,0.110484,178.89264,-1.3545295,0.924085
75,0.063689,0.0575347,190.26378,-1.284904,0.653392
76,0.0849663,0.115322,197.58627,-1.3213311,0.522495
77,0.0815702,0.082485,199.72223,-1.2117797,0.483322
78,0.0518196,0.113481,173.49773,-3.6064026,0.960665
79,0.0796814,0.013867,175.877,-3.5993266,0.61304
80,0.0947256,0.108143,178.37515,-3.7144365,0.636129
81,0.0850676,0.0843451,200.92743,-3.4699368,0.577396
82,0.0863434,0.0532357,193.22466,-3.3030896,0.729598
83,0.0844957,0.0984445,193.3149,-3.1750703,0.47738
84,0.0776222,0.0806691,195.978,-3.1088586,0.694954
85,0.0758838,0.119446,196.23059,-3.2877691,0.66095
86,0.0545864,0.0731389,175.43689,-2.741298,0.660891
87,0.0904329,0.04341,178.49574,-2.7920098,0.673788
88,0.0801571,0.0612458,188.30359,-2.7699702,0.676865
89,0.0989209,0.120418,172.1241,-2.4112232,0.439683
90,0.0847477,0.0697236,190.63564,-2.3182576,0.624884
91,0.0904445,0.0894099,200.63872,-2.3100228,0.477777
92,0.0927655,0.125788,177.02043,-1.8728945,0.617643
93,0.0907774,0.187874,180.45729,-1.8909916,0.559795
94,0.0910961,0.0769419,189.54901,-1.9894336,0.416269
95,0.0810859,0.0949206,190.05495,-2.0100174,0.582566
96,0.0837661,0.0794241,191.3009,-1.9623085,0.697229
97,0.0815798,0.142166,198.35155,-1.8332611,0.41576
98,0.0606433,0.147883,174.04468,-1.4175751,0.700258
99,0.0715543,0.069894,187.59712,-1.6256125,0.592242
100,0.0968045,0.122279,198.54106,-1.5770621,0.565465
101,0.095273,0.115421,198.88072,-1.5249832,0.541875
102,0.00510457,0.00118605,146.0078,-0.64227331,0.451254
103,0.0163635,0.0146201,144.91641,-0.23530634,0.739344
104,0.0530566,0.237554,146.37379,-0.36845034,0.811607
105,0.0665357,0.0653709,119.05016,39.911827,0.595076
106,0.0849341,0.139257,117.73626,39.156269,0.520775
107,0.0725516,0.0775253,129.79491,50.200432,0.833924
108,0.0644853,0.128225,132.9693,52.475822,0.65398
109,0.0940304,0.123287,135.09851,53.772018,0.919939
110,0.0738419,0.0204165,118.92039,41.251583,0.45727
111,0.0432371,0.137279,124.9702,46.979813,0.480707
112,0.054203,0.0808838,125.17794,47.321751,0.518328
113,0.0713808,0.105793,146.94022,59.470913,0.576956
114,0.0848614,0.0751058,115.34604,37.559742,0.767173
115,0.0526749,0.067324,124.44752,47.395565,0.449924
116,0.0730439,6.11E-04,147.46869,60.171459,0.554333
117,0.0726949,0.0156398,126.38042,49.64296,0.574788
118,0.0305583,1.20E-04,131.3605,53.154472,0.414824
119,0.0727144,0.0718235,153.85094,60.142262,0.467987
120,0.0737644,0.0475531,156.16008,61.176651,0.639214
121,0.096484,0.077491,151.5591,61.461468,0.472343
122,0.0621476,0.0988882,253.55482,61.740551,0.555763
123,0.092769,0.138889,258.36292,58.076859,0.588127
124,0.0724515,0.121538,259.87466,55.432991,0.47712
125,0.0470276,0.996513,257.30307,60.83057,0.589798
126,0.0283144,0.0264753,261.15637,56.477146,0.649033
127,0.0225522,0.00150178,253.88902,63.242184,0.419789
128,0.0968405,0.181045,256.1571,60.58514,0.591172
129,0.0882646,0.116023,256.27847,62.861927,0.907026
130,0.0283787,0.0212859,260.28745,58.366863,0.63931
131,0.0452641,0.0966271,133.79793,54.928295,0.629448
132,0.0897246,0.0552405,201.09247,65.406944,0.874325
133,0.0510796,0.0778989,178.77876,66.564125,0.433237
134,0.0736447,0.0367693,191.94199,66.632309,0.735606
135,0.0952228,0.151838,210.63896,64.440704,0.62415
136,0.0846484,0.128672,113.22353,36.428707,0.548602
137,0.0970915,0.12174,124.80224,49.730415,0.487208
138,0.0472694,0.11812,205.20473,65.823921,0.787187
139,0.0779145,0.127506,214.93613,64.051025,0.622391
140,0.0409393,0.0860773,115.22531,40.067654,0.702805
141,0.0989755,0.0916795,200.13574,66.994118,0.462215
142,0.0766856,0.0665904,218.89241,63.557945,0.550639
143,0.0220766,0.0222834,120.43497,47.067249,0.707885
144,0.0865349,0.138723,182.50642,68.014328,0.571661
145,0.0339996,0.0344626,125.76289,52.39291,0.652388
146,0.0601734,0.179584,183.61165,68.356583,0.822231
147,0.0677279,0.102689,208.009,66.838951,0.484077
148,0.0672514,0.0560881,212.14134,65.974869,0.691954
149,0.0346024,0.0328268,258.09705,62.513542,0.621778
150,0.0706225,0.0275341,258.20331,63.93803,0.532123
151,0.0285493,9.05E-05,262.09927,57.545395,0.94156
152,0.0265604,0.0405922,263.02533,58.620541,0.48072
153,0.0823726,0.0772441,265.4393,55.433773,0.469025
154,0.0614006,0.0562933,262.49286,55.767754,0.402889
155,0.0845743,0.121998,258.42908,64.08197,0.439487
156,0.0793202,0.113502,262.0144,58.157146,0.500878
157,0.0937871,0.0687868,123.44788,49.686047,0.613512
158,0.0681791,0.104714,119.82966,46.907181,0.798375
159,0.0777167,0.0651867,121.7355,48.519066,0.835176
160,0.0429758,0.00200725,240.67087,52.240837,0.584259
161,0.0453486,0.0990716,136.87103,57.604099,0.424486
162,0.08257,0.0726843,192.94814,66.700859,0.55789
163,0.0688413,0.12718,229.2144,59.224991,0.427254
164,0.0112181,0.00107512,233.5556,57.285297,0.462504
165,0.0468577,0.107234,181.67355,67.431931,0.467207
166,0.0808627,0.139038,192.84546,67.306541,0.469523
167,0.0787821,0.332081,196.97945,67.006111,0.434377
168,0.0852449,0.149979,242.60825,52.261818,0.531817
169,0.0137632,2.85E-04,139.18347,59.774628,0.800246
170,0.0751976,0.251055,142.26459,61.116959,0.77126
171,0.0748416,0.0779118,227.28688,61.230717,0.568727
172,0.0740047,0.0706116,227.87863,60.956638,0.802194
173,0.0457074,0.0692811,231.70386,59.263306,0.63403
174,0.09299,0.142691,233.70078,58.465965,0.720618
175,0.0920088,0.145479,233.56384,58.382446,0.726883
176,0.0294686,0.160839,242.92009,52.457481,0.969647
177,0.0989909,0.00133093,162.6906,66.696365,0.659866
178,0.0659246,0.0793322,239.12794,55.940315,0.519955
179,0.0963567,0.211019,127.10953,50.53178,0.418889
180,0.0963183,0.0179694,124.99994,50.176617,0.611155
181,0.0636984,0.0605657,127.10235,53.136948,0.692472
182,0.0400452,0.121482,133.92123,57.572968,0.755685
183,0.0357208,0.263509,255.10153,38.3517,0.630656
184,0.0580003,0.06336,247.39835,47.999725,0.582856
185,0.0180174,8.47E-05,250.23805,44.940113,0.535141
186,0.0351415,0.0693319,247.34111,48.86972,0.838192
187,0.0855353,0.124227,248.50386,47.83305,0.531994
188,0.0406871,0.0508751,254.84499,41.042439,0.509942
189,0.0327696,0.0381367,187.02689,1.5740997,0.724664
190,0.07962,0.12119,224.14857,0.98839414,0.481937
191,0.0767602,0.138653,181.77939,2.0643883,0.430569
192,0.094104,0.0921197,207.93332,1.7114036,0.656283
193,0.0530769,0.0729434,213.63597,1.7315998,0.526139
194,0.0847511,0.176683,220.36491,1.489403,0.528081
195,0.0806163,0.0608647,234.00502,1.1768008,0.405127
196,0.0581144,0.999486,179.30186,2.4744351,0.560317
197,0.0871914,0.17562,203.64438,2.3205774,0.761076
198,0.0389456,0.0345216,227.71396,1.6980331,0.462936
199,0.0742967,0.14253,183.47859,2.7980814,0.481388
200,0.0731057,0.146938,183.44197,2.8115165,0.774479
201,0.0804691,0.109594,188.24522,2.8770266,0.478574
202,0.085344,0.107773,190.72046,2.8791533,0.437618
203,0.0794149,0.119362,204.48685,2.7274683,0.646914
204,0.0711797,0.0987449,210.86679,2.5248823,0.415889
205,0.0860561,0.0765735,217.36276,2.3910844,0.487235
206,0.0858808,0.0779408,225.28238,2.2995737,0.502171
207,0.0259978,0.20424,213.59476,2.9761326,0.457101
208,0.0409321,0.0310665,227.79344,2.6548972,0.473214
209,0.0904714,0.0528703,180.34238,3.7224801,0.636875
210,0.0796557,0.0665592,184.29144,3.5958943,0.505077
211,0.033582,0.00152747,191.86351,3.5915511,0.503701
212,0.0652547,0.11646,193.61205,3.617419,0.560976
213,0.0392739,0.998582,162.71587,1.1670574,0.742702
214,0.0820409,0.109353,172.08038,1.2207458,0.697198
215,0.0750113,0.120505,174.1364,1.3798051,0.44492
216,0.0283833,5.48E-04,185.68944,1.2744398,0.402919
217,0.0617474,0.0633709,201.03249,1.243422,0.472984
218,0.0132095,1.62E-04,134.83681,0.86170942,0.428794
219,0.0511707,0.0827895,145.89252,1.1177185,0.627031
220,0.0939405,0.103088,148.27841,1.2497497,0.453644
221,0.0994318,0.142497,149.83653,1.2985911,0.483151
222,0.0978766,0.120493,150.36058,1.3616408,0.629192
223,0.0997876,0.0380077,156.63968,1.4552381,0.506085
224,0.0585631,0.0758519,133.61749,1.2020315,0.76335
225,0.0714204,0.0446265,135.12053,1.2872558,0.893046
226,0.0731344,0.168023,143.41212,1.629882,0.473041
227,0.0731144,0.111691,155.36584,1.8823348,0.751035
228,0.0756206,0.059337,172.63084,2.1734004,0.590936
229,0.0809405,0.123383,180.95502,2.0991614,0.493915
230,0.0522773,0.0258156,214.17619,1.9327592,0.474198
231,0.0553163,0.00698488,214.32446,1.9200107,0.43674
232,0.0301413,8.67E-04,218.18581,1.8761076,0.464796
233,0.0167144,0.0020956,140.12503,1.8487604,0.573548
234,0.0822273,0.0922416,142.86623,1.9915664,0.653223
235,0.0460157,0.0354083,151.44592,2.2466204,0.598
236,0.0728297,0.0884355,155.63248,2.3607974,0.487271
237,0.0402365,0.059496,159.34845,2.3126519,0.659398
238,0.0792365,0.0606844,166.44641,2.4398627,0.753542
239,0.062954,0.199413,171.09698,2.5542588,0.614699
240,0.0492867,0.0650552,171.32152,2.4469125,0.755328
241,0.0567988,0.0841146,197.42429,2.4579356,0.596673
242,0.0827487,0.191128,202.38144,2.4517045,0.844589
243,0.0953937,0.0926313,207.838,2.3431928,0.486424
244,0.0916524,0.074902,209.75642,2.422761,0.712882
245,0.0276352,0.0235633,220.83466,2.08989,0.461526
246,0.0959218,0.0804284,226.09918,1.9300646,0.841446
247,0.088024,0.103973,227.76523,1.8937516,0.521609
248,0.0999096,0.142005,137.57855,2.1886039,0.519166
249,0.0913091,0.143837,141.91467,2.4028726,0.470267
250,0.0493457,0.142483,145.53754,2.470186,0.755366
251,0.0205661,7.68E-04,147.03999,2.5289166,0.455641
252,0.072965,0.0746799,148.16374,2.5969684,0.521968
253,0.0961536,0.133604,153.97089,2.6218946,0.485268
254,0.0695646,0.0611821,172.43462,2.9940689,0.460128
255,0.0969529,0.103562,179.22453,3.0832994,0.532009
256,0.0787985,0.0730919,189.83163,2.9179769,0.529707
257,0.0186091,0.0130445,195.21399,2.9245954,0.527824
258,0.0731364,0.075079,213.60706,2.7621894,0.51847
259,0.0607287,0.109411,146.0746,2.8274231,0.703169
260,0.099689,0.139578,149.1528,2.8787038,0.431979
261,0.0801263,0.0854253,149.91922,3.0276861,0.467985
262,0.0906578,0.143221,149.99261,3.0424459,0.414204
263,0.0853277,0.0763405,159.99821,3.1167502,0.557561
264,0.0221738,2.41E-04,161.69469,3.1619263,0.405331
265,0.0973694,0.0854323,167.80556,3.3229771,0.899388
266,0.0484895,0.039542,170.36658,3.4151087,0.461479
267,0.085047,0.192448,189.98485,3.3397787,0.589692
268,0.0399207,0.0730939,196.01103,3.3914421,0.480496
269,0.0808063,0.33742,212.26155,3.1942499,0.976444
270,0.0443797,0.0236688,223.39049,3.1084151,0.427061
271,0.0920164,0.113752,227.4975,3.0030851,0.458048
272,0.0463453,0.0524747,228.34868,2.940197,0.571173
273,0.0525374,0.0795613,230.89288,2.656091,0.608986
274,0.0443112,0.0260058,223.8452,3.6151786,0.445807
275,0.0945174,0.0453904,236.70213,2.8141828,0.456681
276,0.0925412,0.128586,212.32077,4.5238404,0.538279
277,0.0554266,0.0508252,216.73636,4.4313974,0.690065
278,0.0400987,0.0662955,239.85968,2.9423056,0.466944
279,0.0912149,0.0950125,225.98129,4.4042082,0.543724
280,0.0760729,0.122896,227.72261,4.208066,0.81059
281,0.0781613,0.105477,233.23232,3.7704413,0.743022
282,0.0633851,0.0649841,221.24634,5.0191078,0.521795
283,0.0739456,0.0736557,315.00189,-7.3137069,0.47195
284,0.0653562,0.997248,323.15048,-8.4874897,0.59381
285,0.0616765,0.0435383,325.1528,-8.6635656,0.400118
286,0.0925626,0.119079,325.65823,-8.2685947,0.431159
287,0.0809344,0.145373,326.26035,-8.3611269,0.600425
288,0.0820694,0.0169095,342.49844,-9.7322845,0.551848
289,0.0799449,0.143732,313.63107,-6.3123021,0.533752
290,0.0925564,0.076814,324.32849,-7.6900735,0.648652
291,0.0845051,0.0961965,328.36887,-8.0699205,0.458614
292,0.0840028,0.133775,335.83966,-8.9398346,0.757121
293,0.0884736,0.0689564,337.15872,-8.9465284,0.543767
294,0.0823475,0.143837,341.78894,-9.3081636,0.558379
295,0.0536432,0.0329281,325.44653,-7.4947691,0.488978
296,0.0769834,0.0921457,327.03842,-7.6878777,0.474221
297,0.0998692,0.0910182,336.61401,-8.4333954,0.429687
298,0.0574444,0.116736,338.81131,-8.6523552,0.490634
299,0.0318685,8.73E-04,339.48209,-8.699131,0.48565
300,0.082524,0.148888,342.4238,-8.985424,0.516661
301,0.0648633,0.142622,342.73865,-8.9030285,0.512898
302,0.0574832,0.0491389,328.31528,-7.2899022,0.430654
303,0.0928282,0.113742,329.39297,-7.3227434,0.562857
304,0.0605019,0.0681049,329.74762,-7.445539,0.402019
305,0.0773088,0.282492,340.44153,-7.9674554,0.500081
306,0.0630968,0.0795098,347.99353,-8.334898,0.485333
307,0.0765846,0.370674,1.8164307,-11.070747,0.474864
308,0.0837596,0.075872,11.182084,-11.044146,0.560393
309,0.0648409,0.0416665,23.249794,-10.59796,0.435255
310,0.0433632,0.251308,26.202059,-10.457457,0.805183
311,0.0839302,0.236596,30.102467,-10.143881,0.535638
312,0.0128086,0.1076,32.336845,-10.133094,0.61279
313,0.051702,0.0335532,36.670307,-9.7118893,0.499869
314,0.0909509,0.0934062,54.502476,-7.7943072,0.520538
315,0.0234183,0.00202181,354.20096,-10.545076,0.498968
316,0.0851488,0.0455232,31.523136,-9.7561083,0.430726
317,0.0737707,0.182533,359.22629,-10.268144,0.636763
318,0.075335,0.121324,0.99133265,-10.345646,0.531258
319,0.0859966,0.0761135,4.2291446,-10.395561,0.526866
320,0.0282783,0.0278748,5.8186955,-10.313958,0.420245
321,0.0317228,0.00676131,6.0020595,-10.368879,0.461578
322,0.0568097,0.117103,13.588861,-10.289259,0.599681
323,0.035928,0.00133852,15.431522,-10.119031,0.671833
324,0.0237566,0.0124651,40.555107,-8.4930468,0.401413
325,0.055332,0.0546349,42.265049,-8.2069845,0.568832
326,0.0793392,0.101431,53.568741,-7.0637975,0.468708
327,0.0712852,0.114463,59.394741,-6.0897651,0.622705
328,0.0180438,0.00197273,25.405096,-9.2431154,0.464179
329,0.0515386,0.0819372,28.175888,-9.1983423,0.500804
330,0.064757,0.119079,1.4916503,-9.3549404,0.822962
331,0.0688795,0.130053,11.423712,-9.4980221,0.523307
332,0.0952009,0.997132,23.243923,-8.8938417,0.418979
333,0.0666017,0.0774724,59.194035,-5.2756877,0.748727
334,0.0848214,0.139513,357.58926,-8.8849258,0.618769
335,0.0350324,0.042595,5.3115268,-8.9693279,0.401755
336,0.0373556,0.0513731,12.654216,-9.0685396,0.448486
337,0.0741278,0.102527,12.96965,-9.0153971,0.899983
338,0.0922391,0.105174,23.670586,-8.5672932,0.550381
339,0.0690638,0.143695,47.575165,-6.4347358,0.492096
340,0.0320966,0.0295707,57.27306,-5.2218299,0.602452
341,0.0657911,0.0751827,316.22922,-7.390471,0.465391
342,0.0848379,0.119019,320.85532,-7.4830136,0.448763
343,0.0460313,0.0323425,312.09113,-6.065784,0.556835
344,0.0921408,0.122198,326.42227,-7.663435,0.554963
345,0.0673345,0.173828,328.29709,-7.5926642,0.796487
346,0.0622962,0.143005,318.69418,-5.9543333,0.7654
347,0.0509283,0.0272647,325.62335,-6.8673978,0.446716
348,0.0931764,0.134438,319.89795,9.6766376,0.499543
349,0.0762763,0.143752,321.3172,9.9842997,0.613379
350,0.0595199,0.0377198,321.18546,10.056828,0.442257
351,0.0772874,0.11448,323.47586,10.480347,0.549491
352,0.0830643,0.100546,326.71481,10.92466,0.503337
353,0.028944,0.11101,344.03473,13.06052,0.628144
354,0.0443057,0.0351845,351.58633,13.650911,0.491149
355,0.069386,0.0431173,356.06213,13.890697,0.442637
356,0.093542,0.0786193,321.51465,10.405786,0.416652
357,0.0806311,0.0858904,333.92316,12.322635,0.401681
358,0.0627762,0.00175064,339.72598,13.194452,0.477409
359,0.0961566,0.058022,358.76199,14.4311,0.434214
360,0.0909661,0.125308,359.94467,14.416877,0.773261
361,0.0827129,0.00146237,2.6468225,14.399261,0.419449
362,0.0292253,0.053872,322.24277,11.3665,0.481179
363,0.0458015,0.0323265,351.10605,14.791726,0.416336
364,0.055179,0.123984,354.05353,15.006799,0.970042
365,0.0257756,0.0241221,331.6694,13.268103,0.468937
366,0.067688,0.0395926,331.62869,13.409972,0.523127
367,0.0842651,0.115993,339.93655,14.414023,0.541531
368,0.0306596,0.00162017,344.46973,14.747483,0.417907
369,0.0592004,0.053474,317.34546,11.37037,0.71498
370,0.0708981,0.120955,350.53259,15.628424,0.588175
371,0.0661457,0.120109,354.27237,15.9329,0.427074
372,0.0955023,0.127505,0.61370331,16.078478,0.621864
373,0.0637411,0.026171,358.8139,-10.974595,0.40498
374,0.078646,0.129648,358.55515,-10.386381,0.618652
375,0.0963698,0.047516,4.7108054,-10.507474,0.445067
376,0.0997499,0.073167,13.788874,-10.322904,0.435493
377,0.0592452,0.0415173,17.579473,-10.291501,0.506286
378,0.0538297,0.0709479,14.037868,-9.6153908,0.579998
379,0.0686113,0.0891568,21.355293,-9.3230066,0.562188
380,0.074132,0.0759233,358.74814,-9.2470694,0.682325
381,0.0559347,0.076624,10.300911,-9.1695204,0.577582
382,0.0742656,0.0840214,20.534435,-8.9594564,0.55501
383,0.0415383,0.0332788,24.55504,-9.483407,0.513208
384,0.0524008,0.0652697,26.109457,-9.349925,0.56336
385,0.0919631,0.100144,26.965891,-8.6166906,0.747589
386,0.0925734,0.113468,27.219385,-8.1447611,0.51836
387,0.0952037,0.00204702,315.87936,10.010415,0.524314
388,0.0748914,0.023015,34.827217,-7.893003,0.447479
389,0.0405216,0.0392076,119.88456,37.888767,0.63969
390,0.068397,0.113512,121.92535,39.817104,0.536046
391,0.0975442,0.103417,121.46726,40.15781,0.579075
392,0.0852117,0.148639,116.35959,35.156628,0.502067
393,0.0269178,0.0220432,113.50179,32.212288,0.887307
394,0.0925274,0.0816529,116.91354,36.690269,0.441296
395,0.0891055,0.131078,355.37064,-10.72577,0.656814
396,0.0866006,0.131716,351.91693,-10.278572,0.476172
397,0.0699489,0.133382,351.22156,-9.9074535,0.559642
398,0.0867922,0.0976078,356.0983,-10.084988,0.411477
399,0.083597,0.106493,349.76361,-9.4218225,0.472307
400,0.0953812,0.208504,352.25491,-8.9472685,0.610811
401,0.0846192,0.00211079,30.514065,-9.5216017,0.404722
402,0.0624861,0.0335442,149.16139,1.0929127,0.423181
403,0.0975245,0.121444,150.2646,1.1186545,0.411615
404,0.0580431,0.0154414,135.88658,1.2101116,0.418221
405,0.0986531,0.103246,148.91449,1.5967772,0.45746
406,0.0985289,0.017917,145.71928,1.8693067,0.653657
407,0.0876099,0.1033,140.59261,2.5859227,0.664625
408,0.0217429,0.0302993,156.93175,1.1939903,0.47422
409,0.04121,0.0266818,157.30344,1.3468802,0.598614
410,0.0808042,0.0811793,160.72992,1.2665824,0.446034
411,0.0637333,0.0564166,159.13641,1.6928277,0.58839
412,0.0866329,0.0934959,171.64951,1.8884678,0.477101
413,0.0775191,0.0740927,177.94948,2.0095592,0.576117
414,0.0530272,0.0183768,154.25703,2.0122552,0.477914
415,0.0714902,0.145286,154.93044,2.1209614,0.741699
416,0.0747749,0.0699994,171.53644,2.2280457,0.696217
417,0.0954659,0.0908376,153.96721,2.5576711,0.531194
418,0.0285304,0.00220668,156.96179,2.6094205,0.403964
419,0.0955985,0.144464,159.55663,2.5179694,0.414036
420,0.0809187,0.12265,160.1344,2.4909363,0.608077
421,0.0356135,0.00801369,167.2281,2.6765988,0.591381
422,0.0764929,0.00200492,168.74974,2.7644591,0.428045
423,0.0628603,0.0658134,171.24368,2.6638401,0.8804
424,0.0679704,0.0340823,178.2411,2.7072358,0.529237
425,0.0632593,0.100888,156.06367,2.8939531,0.837177
426,0.0857178,0.102111,160.92328,3.0054166,0.453737
427,0.0562878,0.99607,172.40892,3.2511625,0.472343
428,0.0918865,0.12348,172.32957,3.2658198,0.671776
429,0.0396581,0.03818,167.52333,3.4767075,0.867856
430,0.00717787,0.0018466,126.8253,46.034191,0.514415
431,0.0978313,0.14628,122.97054,40.563622,0.713706
432,0.0975608,0.0513094,119.96081,39.43301,0.476752
433,0.0766817,0.179833,121.09452,40.648861,0.954286
434,0.062852,0.141192,122.39507,41.976696,0.603748
435,0.0785861,0.0892104,188.06898,63.911125,0.419484
436,0.0750785,0.0836702,200.66985,62.894306,0.533875
437,0.0789029,0.140626,188.22104,64.145622,0.714984
438,0.0833846,0.106577,165.82117,63.375679,0.416604
439,0.0631809,0.0996333,176.40494,64.511482,0.58791
440,0.0606095,0.0598659,176.33334,64.441345,0.477751
441,0.0799085,0.0791175,187.97418,64.652649,0.430227
442,0.0385733,0.0243814,175.19414,64.786713,0.510202
443,0.0548095,0.106132,177.62823,65.740982,0.614812
444,0.0553787,0.108437,181.8235,65.99276,0.442741
445,0.0721012,0.0942816,158.56535,3.3733363,0.466026
446,0.0928609,0.121491,142.86194,2.9998944,0.44205
447,0.0467317,0.0381125,143.83711,3.060528,0.651969
448,0.05175,0.0651621,142.31345,3.3314936,0.680765
449,0.0893462,0.0463648,142.58698,3.3387356,0.511932
450,0.0909784,0.506397,148.86569,3.7546721,0.491046
451,0.098254,0.124831,138.77449,3.5852947,0.436915
452,0.0901468,0.0224323,147.40361,4.114984,0.677234
453,0.0693591,0.0673584,147.66998,4.0094533,0.412378
454,0.0919176,0.0945171,151.24673,4.5867615,0.473274
455,0.0935359,0.093434,167.55798,5.3665924,0.641195
456,0.0549396,0.0922915,163.5766,5.6621661,0.662009
457,0.0522783,0.0654217,165.42485,5.741365,0.609451
458,0.0548835,0.0478288,118.90813,33.883629,0.558882
459,0.0897415,0.0881604,123.29046,38.184036,0.505863
460,0.0671504,0.0748496,123.65174,38.564728,0.788744
461,0.0767122,0.0759204,122.42954,39.515945,0.68078
462,0.0310595,0.0404589,206.81836,62.511024,0.478903
463,0.0685673,0.0829803,216.22871,60.949215,0.536557
464,0.0368985,0.106857,217.0542,61.187679,0.718357
465,0.0688372,0.101395,228.93245,57.325768,0.424411
466,0.0699349,0.0998395,223.59319,59.727428,0.608177
467,0.0958835,0.0714689,211.65672,63.491081,0.479708
468,0.0394246,0.04421,224.8369,59.85006,0.614397
469,0.0999167,0.101758,123.62775,38.320389,0.656092
470,0.0706567,0.0372443,132.4995,45.311085,0.751414
471,0.0911947,0.145156,121.147,36.619884,0.636209
472,0.0671801,0.0751289,121.94482,37.241093,0.433697
473,0.0665763,0.10698,129.5442,43.601364,0.41953
474,0.0510894,0.0496258,137.5817,48.913795,0.495587
475,0.0266176,0.0445018,140.62267,50.430149,0.913583
